Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Jalen Coker,41293,Car,WR,Q,Ankle,Y,Sun 1:00 pm @ Cle
Jordan Whittington,41083,LAR,WR,Q,Quadriceps,Y,Sun 8:20 pm @ Den
Jadarian Price,42654,Sea,RB,Q,Chest,Y,Sun 1:00 pm @ Was
Caleb Douglas,42697,Mia,WR,Q,Ankle,Y,Sun 1:00 pm vs KC
Keon Coleman,40911,Buf,WR,Q,Ankle,Y,Sun 1:00 pm vs LAC
Barion Brown,42812,NO,WR,Q,Hamstring,Y,Sun 4:25 pm vs LV
Eli Raridon,42717,NE,TE,Q,Thigh,N,Sun 1:00 pm @ Jax
Brenen Thompson,42727,LAC,WR,Q,Quadriceps,Y,Sun 1:00 pm @ Buf
Jonah Coleman,42730,Den,RB,Q,Ankle,Y,Sun 8:20 pm vs LAR
Malik Nabers,40899,NYG,WR,Q,Shoulder,Y,Sun 1:00 pm vs Ten
Brock Bowers,40878,LV,TE,Q,Knee - Meniscus,Y,Sun 4:25 pm @ NO
Ryan Miller,40676,Mia,WR,Q,Hip,Y,Sun 1:00 pm vs KC
Brady Russell,40519,Sea,"RB,TE",Q,Chest,N,Sun 1:00 pm @ Was
Tyson Bagent,40504,Chi,QB,Q,Concussion,Y,Mon 8:15 pm vs Phi
Kaytron Allen,42809,Was,RB,Q,Hip,N,Sun 1:00 pm vs Sea
Aaron Jones Sr.,30295,Min,RB,Q,Knee,Y,Sun 4:05 pm @ TB
Jaylen Warren,34447,Pit,RB,Q,Shoulder,Y,Sun 1:00 pm vs Cin
Chris Moore,29341,Bal,WR,Q,Ankle,N,Sun 4:25 pm @ Dal
Mike Evans,27535,SF,WR,Q,Hip,Y,Sun 4:05 pm vs Ari
Mason Tipton,41188,NO,WR,PUP-R,Leg,N,Sun 4:25 pm vs LV
Tyrell Shavers,40630,Buf,WR,PUP-R,Knee - ACL,N,Sun 1:00 pm vs LAC
Luke Musgrave,40074,GB,TE,PUP-R,Neck,N,Thu 8:15 pm vs Atl
Isaac Guerendo,40998,SF,RB,PUP-R,Pectoral,N,Sun 4:05 pm vs Ari
Tip Reiman,40959,Ari,TE,PUP-R,Ankle,N,Sun 4:05 pm @ SF
Zach Charbonnet,40075,Sea,RB,PUP-R,Knee - ACL,Y,Sun 1:00 pm @ Was
Max Hurleman,42516,Pit,"WR,RB",O,Undisclosed,N,Sun 1:00 pm vs Cin
Jaxson Dart,41810,NYG,QB,O,Knee - Meniscus,Y,Sun 1:00 pm vs Ten
Jayden Reed,40063,GB,WR,O,Neck,Y,Thu 8:15 pm vs Atl
Joe Mixon,30161,Hou,RB,O,Foot,N,Sun 1:00 pm @ Ind
Jayden Daniels,40896,Was,QB,O,Elbow,Y,Sun 1:00 pm vs Sea
Alec Pierce,34008,Ind,WR,O,Heel,Y,Sun 1:00 pm vs Hou
Andrei Iosivas,40211,Cin,WR,O,Thumb,Y,Sun 1:00 pm @ Pit
