Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Ricky Pearsall,40892,SF,WR,IR,Sun 4:05 pm vs Ari,FA,-,8,0.00,328,"1,156",3%,-,-,-,-,-,-,-,-,-,-,-,-,-
Trenton Irwin,32438,SF,WR,NA,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,531","1,063",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Greg Dortch,32523,Buf,WR,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,087","1,084",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Lucky Jackson,40791,Det,WR,NA,Sun 1:00 pm vs NYJ,FA,-,6,0.00,"2,482","1,105",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dylan Drummond,40737,Atl,WR,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,687","1,089",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Malik Heath,40445,Atl,WR,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,286","1,009",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Tyrell Shavers,40630,Buf,WR,PUP-R,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,235","1,064",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Xavier Gipson,40548,Phi,WR,NA,Mon 8:15 pm @ Chi,FA,-,10,0.00,"2,781","1,045",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jason Brownlee,40545,KC,WR,NA,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,428","1,044",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Bryce Ford-Wheaton,40529,NYG,WR,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,633","1,039",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Shedrick Jackson,40491,Bal,WR,NA,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,459","1,029",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Isaiah Winstead,40466,Pit,WR,NA,Sun 1:00 pm vs Cin,FA,-,9,0.00,"2,402","1,017",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jake Bobo,40452,Sea,WR,IR,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,731","1,011",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
