player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury,status_col,updated,depth_chart,source_file
Juwan Johnson,TE,TE,NO,Q,Bal,away,Sun 1:00 pm,Illness,Q,Sep 16 3:36 AM,NO,game-day-calls.txt
Ricky Pearsall,WR,WR,SF,IR,Mia,home,Sun 4:25 pm,Knee - PCL,IR,Sep 16 3:36 AM,SF,game-day-calls.txt
Derius Davis,WR,WR,LAC,,LV,home,Sun 4:05 pm,,,Sep 16 3:31 AM,LAC,game-day-calls.txt
Devontez Walker,WR,WR,Bal,,NO,home,Sun 1:00 pm,,,Sep 16 2:46 AM,Bal,game-day-calls.txt
Sean Tucker,RB,RB,TB,,Cle,home,Sun 1:00 pm,,,Sep 16 2:31 AM,TB,game-day-calls.txt
Josh Whyle,TE,TE,GB,,NYJ,away,Sun 1:00 pm,,,Sep 16 2:16 AM,GB,game-day-calls.txt
Alvin Kamara,RB,RB,NO,,Bal,away,Sun 1:00 pm,,,Sep 16 1:56 AM,NO,game-day-calls.txt
Alec Pierce,WR,WR,Ind,,KC,away,Sun 8:20 pm,,,Sep 16 1:46 AM,Ind,game-day-calls.txt
TreVeyon Henderson,RB,RB,NE,,Pit,home,Sun 1:00 pm,,,Sep 16 1:31 AM,NE,game-day-calls.txt
Tyson Bagent,QB,QB,Chi,,Min,home,Sun 1:00 pm,,,Sep 16 1:21 AM,Chi,game-day-calls.txt
Jalen McMillan,WR,WR,TB,,Cle,home,Sun 1:00 pm,,,Sep 15 10:41 PM,TB,game-day-calls.txt
JuJu Smith-Schuster,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,,Sep 15 6:26 AM,NYG,game-day-calls.txt
Jerome Ford,RB,RB,Was,NA,Dal,away,Sun 4:25 pm,,,Sep 15 4:31 AM,Was,game-day-calls.txt
Sam Ehlinger,QB,QB,Den,,Jax,home,Sun 4:05 pm,,,Sep 14 8:41 PM,Den,game-day-calls.txt
Dallen Bentley,TE,TE,Den,,Jax,home,Sun 4:05 pm,,,Sep 14 8:41 PM,Den,game-day-calls.txt
Tyler Badie,RB,RB,Den,,Jax,home,Sun 4:05 pm,,,Sep 14 8:41 PM,Den,game-day-calls.txt
Garrett Nussmeier,QB,QB,KC,,Ind,home,Sun 8:20 pm,,,Sep 14 8:36 PM,KC,game-day-calls.txt
Jared Wiley,TE,TE,KC,,Ind,home,Sun 8:20 pm,,,Sep 14 8:36 PM,KC,game-day-calls.txt
Davis Allen,TE,TE,LAR,,NYG,home,Mon 8:15 pm,,,Sep 13 9:36 PM,LAR,game-day-calls.txt
Luke McCaffrey,WR,WR,Was,,Dal,away,Sun 4:25 pm,,,Sep 13 8:26 PM,Was,game-day-calls.txt
Treylon Burks,WR,WR,Was,,Dal,away,Sun 4:25 pm,,,Sep 13 8:26 PM,Was,game-day-calls.txt
Jordan James,RB,RB,SF,,Mia,home,Sun 4:25 pm,,,Sep 13 8:26 PM,SF,game-day-calls.txt
Nick Kallerup,TE,TE,Sea,,Ari,away,Sun 4:25 pm,,,Sep 13 8:26 PM,Sea,game-day-calls.txt
Jalen Milroe,QB,QB,Sea,,Ari,away,Sun 4:25 pm,,,Sep 13 8:26 PM,Sea,game-day-calls.txt
Jordan Watkins,WR,WR,SF,,Mia,home,Sun 4:25 pm,,,Sep 13 8:26 PM,SF,game-day-calls.txt
Nicholas Singleton,RB,RB,Ten,,Phi,home,Sun 1:00 pm,,,Sep 13 8:26 PM,Ten,game-day-calls.txt
Will Howard,QB,QB,Pit,,NE,away,Sun 1:00 pm,,,Sep 13 8:26 PM,Pit,game-day-calls.txt
Athan Kaliakmanis,QB,QB,Was,,Dal,away,Sun 4:25 pm,,,Sep 13 8:26 PM,Was,game-day-calls.txt
Kurtis Rourke,QB,QB,SF,,Mia,home,Sun 4:25 pm,,,Sep 13 8:26 PM,SF,game-day-calls.txt
Drew Allar,QB,QB,Pit,,NE,away,Sun 1:00 pm,,,Sep 13 8:26 PM,Pit,game-day-calls.txt
Tutu Atwell,WR,WR,LAR,,NYG,home,Mon 8:15 pm,,,Sep 13 8:21 PM,LAR,game-day-calls.txt
Elijah Moore,WR,WR,Phi,,Ten,away,Sun 1:00 pm,,,Sep 13 8:21 PM,Phi,game-day-calls.txt
Max Klare,TE,TE,LAR,,NYG,home,Mon 8:15 pm,,,Sep 13 8:21 PM,LAR,game-day-calls.txt
Najee Harris,RB,RB,NYG,,LAR,away,Mon 8:15 pm,,,Sep 13 8:21 PM,NYG,game-day-calls.txt
Behren Morton,QB,QB,NE,,Pit,home,Sun 1:00 pm,,,Sep 13 8:21 PM,NE,game-day-calls.txt
Ty Simpson,QB,QB,LAR,,NYG,home,Mon 8:15 pm,,,Sep 13 8:21 PM,LAR,game-day-calls.txt
Thomas Fidone II,TE,TE,NYG,,LAR,away,Mon 8:15 pm,,,Sep 13 8:21 PM,NYG,game-day-calls.txt
Dalen Cambre,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,,Sep 13 8:21 PM,NYG,game-day-calls.txt
Brady Cook,QB,QB,Mia,,SF,away,Sun 4:25 pm,,,Sep 13 8:21 PM,Mia,game-day-calls.txt
J.J. McCarthy,QB,QB,Min,,Chi,away,Sun 1:00 pm,,,Sep 13 8:21 PM,Min,game-day-calls.txt
Efton Chism III,WR,WR,NE,,Pit,home,Sun 1:00 pm,,,Sep 13 8:21 PM,NE,game-day-calls.txt
Blake Grupe,K,K,NYJ,,GB,home,Sun 1:00 pm,,,Sep 13 8:21 PM,NYJ,game-day-calls.txt
Tanner McKee,QB,QB,Phi,,Ten,away,Sun 1:00 pm,,,Sep 13 8:21 PM,Phi,game-day-calls.txt
Jalen Tolbert,WR,WR,Mia,,SF,away,Sun 4:25 pm,,,Sep 13 8:21 PM,Mia,game-day-calls.txt
Zach Wilson,QB,QB,NO,,Bal,away,Sun 1:00 pm,,,Sep 13 8:21 PM,NO,game-day-calls.txt
Aidan O'Connell,QB,QB,LV,,LAC,away,Sun 4:05 pm,,,Sep 13 8:21 PM,LV,game-day-calls.txt
Justin Joly,TE,TE,Mia,,SF,away,Sun 4:25 pm,,,Sep 13 8:21 PM,Mia,game-day-calls.txt
Cole Payton,QB,QB,Phi,,Ten,away,Sun 1:00 pm,,,Sep 13 8:21 PM,Phi,game-day-calls.txt
CJ Daniels,WR,WR,LAR,,NYG,home,Mon 8:15 pm,,,Sep 13 8:21 PM,LAR,game-day-calls.txt
Demond Claiborne,RB,RB,Min,,Chi,away,Sun 1:00 pm,,,Sep 13 8:21 PM,Min,game-day-calls.txt
Brevin Jordan,TE,TE,Hou,,Cin,home,Sun 1:00 pm,,,Sep 13 8:16 PM,Hou,game-day-calls.txt
Tanner Koziol,TE,TE,Jax,,Den,away,Sun 4:05 pm,,,Sep 13 8:16 PM,Jax,game-day-calls.txt
Ke'Shawn Williams,WR,WR,Cin,,Hou,away,Sun 1:00 pm,,,Sep 13 8:16 PM,Cin,game-day-calls.txt
Taylen Green,QB,QB,Cle,,TB,away,Sun 1:00 pm,,,Sep 13 8:16 PM,Cle,game-day-calls.txt
Quinn Ewers,QB,QB,Jax,,Den,away,Sun 4:05 pm,,,Sep 13 8:16 PM,Jax,game-day-calls.txt
Jack Endries,TE,TE,Cin,,Hou,away,Sun 1:00 pm,,,Sep 13 8:16 PM,Cin,game-day-calls.txt
DJ Giddens,RB,RB,Ind,,KC,away,Sun 8:20 pm,,,Sep 13 8:16 PM,Ind,game-day-calls.txt
Israel Abanikanda,RB,RB,Dal,NA,Was,home,Sun 4:25 pm,,,Sep 13 8:16 PM,Dal,game-day-calls.txt
Riley Leonard,QB,QB,Ind,,KC,away,Sun 8:20 pm,,,Sep 13 8:16 PM,Ind,game-day-calls.txt
Camden Brown,WR,WR,Dal,,Was,home,Sun 4:25 pm,,,Sep 13 8:16 PM,Dal,game-day-calls.txt
J. Michael Sturdivant,WR,WR,GB,,NYJ,away,Sun 1:00 pm,,,Sep 13 8:16 PM,GB,game-day-calls.txt
Elijah Sarratt,WR,WR,Bal,,NO,home,Sun 1:00 pm,,,Sep 13 8:11 PM,Bal,game-day-calls.txt
Ja'Tavion Sanders,TE,TE,Car,,Atl,away,Sun 1:00 pm,,,Sep 13 8:11 PM,Car,game-day-calls.txt
